陕西,#genre#
CCTV13,http://36.46.98.174:8025/udp/239.109.205.17:8064
CCTV14,http://36.46.98.174:8025/udp/239.109.205.18:8072
CCTV14,http://36.46.98.174:8025/udp/239.112.205.15:5140$陕西电信
CCTV15,http://36.46.98.174:8025/udp/239.112.205.16:5140$陕西电信
CCTV15,http://36.46.98.174:8025/udp/239.109.205.19:8080
CCTV17,http://36.46.98.174:8025/udp/239.112.205.210:5140$陕西电信
CCTV17,http://36.46.98.174:8025/udp/239.109.205.81:8584
陕西新闻资讯,http://36.46.98.174:8025/udp/239.109.205.2:9120
陕西新闻资讯,http://36.46.98.174:8025/udp/239.112.205.18:5140$陕西电信
陕西都市,http://36.46.98.174:8025/udp/239.109.205.3:9128
陕西都市,http://36.46.98.174:8025/udp/239.112.205.19:5140$陕西电信
陕西秦腔,http://36.46.98.174:8025/udp/239.109.205.6:9152
陕西秦腔,http://36.46.98.174:8025/udp/239.112.205.22:5140$陕西电信
陕西西部电影,http://36.46.98.174:8025/udp/239.109.205.217:9706
陕西西部电影,http://36.46.98.174:8025/udp/239.111.205.41:5140$陕西电信
陕西银龄,http://36.46.98.174:8025/udp/239.109.205.4:9136
陕西银龄,http://36.46.98.174:8025/udp/239.112.205.20:5140$陕西电信
陕西体育休闲,http://36.46.98.174:8025/udp/239.112.205.24:5140$陕西电信
陕西体育休闲,http://36.46.98.174:8025/udp/239.109.205.8:9168
陕西乐家购物,http://36.46.98.174:8025/udp/239.109.205.7:9160
陕西乐家购物,http://36.46.98.174:8025/udp/239.112.205.23:5140$陕西电信
西安综合,http://36.46.98.174:8025/udp/239.109.205.130:8976
西安综合,http://36.46.98.174:8025/udp/239.111.205.242:5140$陕西电信
西安都市,http://36.46.98.174:8025/udp/239.109.205.131:8984
西安都市,http://36.46.98.174:8025/udp/239.111.205.243:5140$陕西电信
西安戏剧影视,http://36.46.98.174:8025/udp/239.110.205.39:9862
西安戏剧影视,http://36.46.98.174:8025/udp/239.112.205.175:5140$陕西电信
西安丝路,http://36.46.98.174:8025/udp/239.110.205.40:9866
西安丝路,http://36.46.98.174:8025/udp/239.112.205.176:5140$陕西电信
西安商务资讯,http://36.46.98.174:8025/udp/239.110.205.38:9858
西安商务资讯,http://36.46.98.174:8025/udp/239.112.205.174:5140$陕西电信
西安教育,http://36.46.98.174:8025/udp/239.110.205.24:9842
西安教育,http://36.46.98.174:8025/udp/239.112.205.142:5140$陕西电信
渭南华州,http://36.46.98.174:8025/udp/239.109.205.93:8680
渭南华州,http://36.46.98.174:8025/udp/239.112.205.192:5140$陕西电信
渭南华阴,http://36.46.98.174:8025/udp/239.109.205.63:8440
渭南华阴,http://36.46.98.174:8025/udp/239.112.205.193:5140$陕西电信
渭南富平,http://36.46.98.174:8025/udp/239.109.205.71:8504
渭南富平,http://36.46.98.174:8025/udp/239.112.205.188:5140$陕西电信
渭南澄城,http://36.46.98.174:8025/udp/239.109.205.76:8544
渭南澄城,http://36.46.98.174:8025/udp/239.112.205.191:5140$陕西电信
渭南白水,http://36.46.98.174:8025/udp/239.109.205.87:8632
渭南白水,http://36.46.98.174:8025/udp/239.112.205.219:5140$陕西电信
渭南韩城,http://36.46.98.174:8025/udp/239.109.205.72:8512
渭南韩城,http://36.46.98.174:8025/udp/239.112.205.166:5140$陕西电信
咸阳兴平,http://36.46.98.174:8025/udp/239.112.205.168:5140$陕西电信
咸阳彬州,http://36.46.98.174:8025/udp/239.112.205.181:5140$陕西电信
咸阳彬洲,http://36.46.98.174:8025/udp/239.110.205.49:9922
咸阳淳化,http://36.46.98.174:8025/udp/239.111.205.97:5140$陕西电信
